Id,Name,DeveloperName,OwnerId,FolderId,BrandTemplateId,EnhancedLetterheadId,TemplateStyle,IsActive,TemplateType,Encoding,Description,Subject,HtmlValue,Body,ApiVersion,Markup,UiType,RelatedEntityType,FolderName
00X7S000000DhZ3UAK,To customer - Order__c.Status has changed,To_customer_Order_c_Status_has_changed_1668967630195,0057S000000u8PWQAY,00D7S000000XmQpUAK,,0Rn7S000000YNgKSAW,none,true,custom,UTF-8,Informing the customer about the change in the status of the Order__c object,Your order status has changed,"<html>
<head>
	<title></title>
</head>
<body style=""height: auto; min-height: auto;"">Dear&nbsp;{{{Order__c.ShippingFirstName__c}}},<br />
<br />
It is a pleasure to inform you that&nbsp;<strong>{{{Order__c.Name}}} order</strong> status has changed to <strong>{{{Order__c.Status__c}}}</strong>.<br />
<br />
Best regards,<br />
{{{Sender.Name}}}</body>
</html>",,,,SFX,Order__c,Public Email Templates
Id,Name,DeveloperName,OwnerId,FolderId,BrandTemplateId,EnhancedLetterheadId,TemplateStyle,IsActive,TemplateType,Encoding,Description,Subject,HtmlValue,Body,ApiVersion,Markup,UiType,RelatedEntityType,FolderName
00X7S000000DhZ3UAK,To customer - Order__c.Status has changed,To_customer_Order_c_Status_has_changed_1668967630195,0057S000000u8PWQAY,00l7S000000HzyaQAC,,0Rn7S000000YNgKSAW,none,true,custom,UTF-8,Informing the customer about the change in the status of the Order__c object,Your order status has changed,"<html>
<head>
	<title></title>
</head>
<body style=""height: auto; min-height: auto;"">Dear&nbsp;{{{Order__c.ShippingFirstName__c}}},<br />
<br />
It is a pleasure to inform you that&nbsp;<strong>{{{Order__c.Name}}} order</strong> status has changed to <strong>{{{Order__c.Status__c}}}</strong>.<br />
<br />
Best regards,<br />
{{{Sender.Name}}}</body>
</html>",,,,SFX,Order__c,Organisation Wide Email Templates
